horizon,source,point
1,1,1
1,2,1
1,3,0.8
1,4,1.2
1,5,0.8
1,6,0.9
1,7,0.8
1,9,0.7
1,10,1.2
1,11,1.2
1,14,1
1,16,1.2
1,17,1.2
1,18,0.8
1,19,0.8
1,20,0.8
1,23,1.1
1,24,1.3
1,26,1.2
1,28,1
1,29,1
1,31,1.4
1,32,1
1,33,1.4
1,34,1.4
1,35,1.2
1,36,1
1,37,1.5
1,38,1
1,39,1.1
1,40,0.9
1,43,0.5
1,45,1.2
1,46,0.68
1,47,0.9
1,50,0.6
1,52,1
1,53,1.4
1,54,0.7
1,55,0.8
1,56,0.8
1,59,1.1
1,60,1.2
1,61,1.2
1,62,1.2
1,63,1.2
1,64,1
1,65,0.8
1,67,1
1,68,0.6
1,70,1
1,71,1.1
1,72,0.7
1,73,0.5
1,76,1.1
1,85,0.6
1,86,1.1
1,87,0.9
1,88,1.2
1,89,1
1,90,1
1,91,1.2
1,92,0.97
1,93,1.1
1,94,0.9
1,95,0.8
5,1,1.5
5,2,1.2
5,3,1
5,4,1.6
5,5,1.4
5,6,1.3
5,7,0.8
5,9,0.6
5,10,1.3
5,11,1.5
5,14,1.5
5,16,1.8
5,17,1.7
5,18,1.1
5,19,1
5,20,1.4
5,23,1.9
5,24,1.8
5,26,1.5
5,28,1
5,29,1.3
5,31,1.7
5,32,1.5
5,33,1.8
5,34,1.6
5,35,
5,36,1.3
5,37,1.9
5,38,1.4
5,39,1.6
5,40,1.2
5,43,0.7
5,45,1.3
5,46,0.64
5,47,1.2
5,50,0.3
5,52,1.3
5,53,1.5
5,54,1
5,55,1.6
5,56,1.1
5,59,1.4
5,60,1.6
5,61,1.8
5,62,1.4
5,63,1.7
5,64,1.2
5,65,1.2
5,67,1.4
5,68,0.7
5,70,1.5
5,71,1.4
5,72,1.5
5,73,0.7
5,76,1.4
5,85,0.7
5,86,1.5
5,87,1.3
5,88,1.6
5,89,1.3
5,90,1.5
5,91,1.6
5,92,1.38
5,93,1.2
5,94,1.5
5,95,1
17,1,1.8
17,2,1.6
17,3,1.7
17,4,2
17,5,1.8
17,6,1.9
17,7,
17,9,1.3
17,10,1.6
17,11,2
17,14,1.5
17,16,2.5
17,17,2
17,18,1.8
17,19,2
17,20,2.3
17,23,2.5
17,24,2.7
17,26,1.9
17,28,1.8
17,29,1.5
17,31,2
17,32,2
17,33,2.7
17,34,2
17,35,
17,36,2.2
17,37,2.5
17,38,2.2
17,39,1.9
17,40,1.5
17,43,1.5
17,45,
17,46,0.28
17,47,1.9
17,50,2
17,52,1.9
17,53,2.2
17,54,1.6
17,55,1.9
17,56,
17,59,1.5
17,60,2
17,61,2
17,62,1.6
17,63,1.8
17,64,2.5
17,65,1.6
17,67,1.5
17,68,1
17,70,1.5
17,71,1.5
17,72,2
17,73,
17,76,2
17,85,2.3
17,86,2.2
17,87,1.5
17,88,2
17,89,1.6
17,90,2
17,91,1.8
17,92,2.2
17,93,1.7
17,94,1.9
17,95,1.5
