INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,
1999,1,1,,,20,70,10,,,,,
1999,3,1,,,50,50,,,,,,
1999,5,1,,,30,60,10,,,,,
1999,7,1,,,,,,,,,,
1999,9,1.1,,,30,70,,,,,,
1999,10,1.1,,,15,80,5,,,,,
1999,11,1,,,10,70,15,5,,,,
1999,14,1,,,20,80,,,,,,
1999,16,1.2,,,30,50,15,5,,,,
1999,19,1.1,,,25,75,,,,,,
1999,20,1,,,50,50,,,,,,
1999,23,1.2,,,5,80,15,,,,,
1999,26,1.2,,,10,80,10,,,,,
1999,28,1.1,,,10,70,15,5,,,,
1999,29,1,,,14,85,1,,,,,
1999,31,1.2,,,,,,,,,,
1999,32,1,,,35,60,5,,,,,
1999,33,1,,,10,75,15,,,,,
1999,34,1.3,,,,50,50,,,,,
1999,35,1.4,,,10,45,35,10,,,,
1999,36,1.2,,,30,70,,,,,,
1999,37,1.2,,,,80,20,,,,,
1999,38,1.2,,,,70,30,,,,,
1999,39,1.2,,,15,65,20,,,,,
1999,41,1.1,,,10,90,,,,,,
1999,42,1.3,,,,90,10,,,,,
1999,45,1.1,,,,100,,,,,,
1999,46,.86,,,93.8,6.2,,,,,,
1999,47,1,,,45,50,5,,,,,
1999,48,1.1,,,20,60,20,,,,,
1999,52,1.3,,,20,70,10,,,,,
1999,53,1.1,,,5,90,5,,,,,
1999,54,1.4,,5,15,40,35,5,,,,
1999,55,1.1,4.6,12.2,23.8,27,19.5,9.4,2.8,.6,.1,
1999,56,1.5,,,,70,30,,,,,
1999,59,1,,,40,60,,,,,,
1999,62,1.2,,,,5,90,5,,,,
1999,63,1.3,,,,60,40,,,,,
1999,64,1.2,,,20,70,10,,,,,
1999,65,1.3,,,10,80,10,,,,,
1999,67,1,,,,50,50,,,,,
1999,70,1.2,,,5,80,15,,,,,
1999,72,1.1,,,30,40,30,,,,,
1999,73,.8,,,50,50,,,,,,
1999,76,1,,5,10,40,30,10,5,,,
1999,85,.9,,2,50,30,18,,,,,
1999,87,1.1,,,20,60,20,,,,,
1999,88,1.2,,,15,60,25,,,,,
1999,90,1,,,5,95,,,,,,
1999,91,.9,,2.3,66.9,30.7,.1,,,,,
1999,93,1.2,,,20,60,20,,,,,
1999,94,1.3,,,20,60,20,,,,,
1999,95,.9,3.9603960396,10.8910891089,38.6138613861,35.6435643564,10.8910891089,,,,,
2000,1,1.5,,,,25,50,20,5,,,
2000,3,1.4,,,20,40,30,10,,,,
2000,5,1.4,,,25,40,35,,,,,
2000,7,1.3,,,,,,,,,,
2000,9,1.3,,,20,80,,,,,,
2000,10,1.5,,,,40,60,,,,,
2000,11,1.3,,,10,70,15,5,,,,
2000,14,1.4,,,,60,40,,,,,
2000,16,1.8,,,5,30,40,20,5,,,
2000,19,1.2,,,25,75,,,,,,
2000,20,1.4,,,25,60,15,,,,,
2000,23,1.9,,,,10,70,20,,,,
2000,26,1.7,,,,20,60,20,,,,
2000,28,1.2,,,5,70,15,10,,,,
2000,29,1.2,,,1,88,10,1,,,,
2000,31,1.6,,,,38.8888888889,44.4444444444,16.6666666667,,,,
2000,32,1.7,,,10,25,40,20,5,,,
2000,33,1.5,,,5,40,40,15,,,,
2000,34,1.7,,,,20,70,10,,,,
2000,35,,,,,,,,,,,
2000,36,1.5,,,20,40,40,,,,,
2000,37,1.9,,,,,50,50,,,,
2000,38,1.8,,,,,60,40,,,,
2000,39,1.6,,,,30,55,15,,,,
2000,41,1.6,,,,10,90,,,,,
2000,42,1.75,,,,10,75,15,,,,
2000,45,1.5,,,,75,25,,,,,
2000,46,.8,5.5,22,38.1,26.3,7.3,.8,,,,
2000,47,1.3,,,40,50,10,,,,,
2000,48,1.4,,,10,60,30,,,,,
2000,52,1.8,,,10,30,50,10,,,,
2000,53,1.5,,,,10,80,10,,,,
2000,54,1.4,,,20,40,25,15,,,,
2000,55,1.7,.3,2.2,9.6,20.4,27,22.2,12.1,4.7,1.5,
2000,56,1.5,,,,20,80,,,,,
2000,59,1.5,,,,35,65,,,,,
2000,62,1.5,,,,42.8571428571,52.380952381,4.7619047619,,,,
2000,63,1.6,,,,20,50,30,,,,
2000,64,1.5,1,1,10,29,30,17,8,2,2,
2000,65,1.7,,,,40,50,10,,,,
2000,67,1.3,,,,,,,,,,
2000,70,1.7,,,,25,60,15,,,,
2000,72,1.6,5,10,15,20,25,15,8,2,,
2000,73,1.4,,,50,50,,,,,,
2000,76,1.3,,5,20,30,20,10,10,5,,
2000,85,1.2,,2,8,60,14,10,4,2,,
2000,87,1.5,,,5,20,50,25,,,,
2000,88,1.6,,,5,25,50,15,5,,,
2000,90,1.3,,,,95,5,,,,,
2000,91,1.1,,3.003003003,34.7347347347,51.7517517518,10.3103103103,.2002002002,,,,
2000,93,1.5,,,10,30,40,20,,,,
2000,94,1.7,,,10,30,50,10,,,,
2000,95,1.2,,7,23,35,26,9,,,,
2000Jun,1,1.5,,,15,70,15,,,,,
2000Jun,3,1.2,,,30,40,30,,,,,
2000Jun,5,1.4,,,30,40,30,,,,,
2000Jun,7,1.3,,,,,,,,,,
2000Jun,9,1.3,,,20,80,,,,,,
2000Jun,10,1.5,,,,35,65,,,,,
2000Jun,11,1.2,,,5,75,15,5,,,,
2000Jun,14,1.3,,,10,60,30,,,,,
2000Jun,16,1.5,,,5,30,40,20,5,,,
2000Jun,19,1.3,,,25,75,,,,,,
2000Jun,20,1.6,,,,50,50,,,,,
2000Jun,23,1.9,,,,20,50,30,,,,
2000Jun,26,1.7,,,,10,60,30,,,,
2000Jun,28,1.2,,,5,70,15,10,,,,
2000Jun,29,1.3,,,,85,14,1,,,,
2000Jun,31,1.5,,,,,,,,,,
2000Jun,32,1.5,,,15,35,40,10,,,,
2000Jun,33,1.5,,,5,40,40,15,,,,
2000Jun,34,1.6,,,,40,50,10,,,,
2000Jun,35,2,,,,,,,,,,
2000Jun,36,1.4,,,20,40,40,,,,,
2000Jun,37,1.9,,,,,60,40,,,,
2000Jun,38,1.8,,,,,90,10,,,,
2000Jun,39,1.6,,,,35,45,20,,,,
2000Jun,41,1.7,,,,10,90,,,,,
2000Jun,42,1.8,,,,15,60,25,,,,
2000Jun,45,,,,,,,,,,,
2000Jun,46,.67,4.2,28.6,47.1,18.4,1.7,,,,,
2000Jun,47,1.2,,,45,40,15,,,,,
2000Jun,48,1.3,,,10,60,30,,,,,
2000Jun,52,1.7,,,10,10,50,30,,,,
2000Jun,53,1.8,,,,20,40,40,,,,
2000Jun,54,1.6,,,20,25,40,15,,,,
2000Jun,55,1.7,.2997002997,2.1978021978,6.3936063936,23.1768231768,26.8731268731,22.1778221778,12.2877122877,4.8951048951,1.6983016983,
2000Jun,56,1.7,,,,10,90,,,,,
2000Jun,59,1.4,,,,40,60,,,,,
2000Jun,62,,,,,,,,,,,
2000Jun,63,,,,,,,,,,,
2000Jun,64,1.5,1,1,10,29,30,17,8,2,2,
2000Jun,65,1.8,,,,20,60,20,,,,
2000Jun,67,1.4,,,,10,60,30,,,,
2000Jun,70,1.7,,,,25,60,15,,,,
2000Jun,72,1.6,2,8,15,20,30,15,8,2,,
2000Jun,73,1.5,,,25,50,25,,,,,
2000Jun,76,1.3,,5,20,30,20,10,10,5,,
2000Jun,85,1,,2,14,65,10,8,1,,,
2000Jun,87,1.5,,,5,25,60,10,,,,
2000Jun,88,1.7,,,10,20,50,15,5,,,
2000Jun,90,1.4,,,,90,10,,,,,
2000Jun,91,1.2,,,15.8,77.5,6.7,,,,,
2000Jun,93,,,,,,,,,,,
2000Jun,94,1.9,,,10,30,50,10,,,,
2000Jun,95,1.1,5,9,29,28,21,8,,,,
2001Jun,1,1.8,,,5,20,50,20,5,,,
2001Jun,3,1.4,,,20,30,40,10,,,,
2001Jun,5,1.8,,,20,30,40,10,,,,
2001Jun,7,1.3,,,,,,,,,,
2001Jun,9,1.3,,,20,80,,,,,,
2001Jun,10,1.6,,,,30,60,10,,,,
2001Jun,11,1.7,,,0,5,75,15,5,,,
2001Jun,14,1.5,,,,40,60,,,,,
2001Jun,16,2.1,5,10,10,10,10,25,15,10,5,
2001Jun,19,1.4,,,,100,,,,,,
2001Jun,20,2,,,,10,50,40,,,,
2001Jun,23,2,,,,10,40,40,10,,,
2001Jun,26,1.5,,,15,30,40,15,,,,
2001Jun,28,1.8,,,5,40,40,15,,,,
2001Jun,29,,,,,,,,,,,
2001Jun,31,2,,,,,,,,,,
2001Jun,32,2,,,10,20,40,25,5,,,
2001Jun,33,2,,,,,50,50,,,,
2001Jun,34,1.6,,,,50,50,,,,,
2001Jun,35,,,,,,,,,,,
2001Jun,36,1.8,,,20,30,45,5,,,,
2001Jun,37,2,,,,,50,50,,,,
2001Jun,38,1.9,,,,,90,10,,,,
2001Jun,39,1.5,,,5,45,40,10,,,,
2001Jun,41,1.5,,,,70,30,,,,,
2001Jun,42,1.6,,,,20,60,20,,,,
2001Jun,45,,,,,,,,,,,
2001Jun,46,.67,28.2,16,17.1,15.1,11.1,6.8,3.5,1.5,.7,
2001Jun,47,1.4,,10,20,40,20,10,,,,
2001Jun,48,1.4,,,,40,60,,,,,
2001Jun,52,1.7,,,10,40,40,10,,,,
2001Jun,53,1.5,,,,30,50,20,,,,
2001Jun,54,1.2,,5,20,40,30,5,,,,
2001Jun,55,1.9,1.3986013986,4.2957042957,8.3916083916,22.3776223776,26.3736263736,23.1768231768,10.7892107892,2.7972027972,.3996003996,
2001Jun,56,1.7,,,,,100,,,,,
2001Jun,59,1.6,,,,30,60,10,,,,
2001Jun,62,,,,,,,,,,,
2001Jun,63,,,,,,,,,,,
2001Jun,64,2,1,1,3,15,30,30,15,3,2,
2001Jun,65,1.8,,,,,60,40,,,,
2001Jun,67,1.5,,,,10,40,40,10,,,
2001Jun,70,1.9,,,,10,60,25,5,,,
2001Jun,72,2,3,5,8,10,17,20,15,10,12,
2001Jun,73,,,,,25,50,25,,,,
2001Jun,76,1.7,,5,10,20,30,20,10,5,,
2001Jun,85,1.6,,2,8,30,40,10,6,4,,
2001Jun,87,1.8,,,5.5555555556,22.2222222222,50,22.2222222222,,,,
2001Jun,88,2,,,5,10,35,35,10,5,,
2001Jun,90,1.8,,,,10,90,,,,,
2001Jun,91,1.4,,.5005005005,12.1121121121,48.6486486486,34.4344344344,4.2042042042,.1001001001,,,
2001Jun,93,,,,,,,,,,,
2001Jun,94,2,,5,10,30,40,10,5,,,
2001Jun,95,1.2,6,9,21,25,22,12,5,,,
,,,,,,,,,,,,
GROWTH EXPECTATIONS; YEAR-ON-YEAR CHANGE IN REAL GDP,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0
1999,1,2,,,,3,49,45,3,,,
1999,3,1.8,,,,,80,20,,,,
1999,5,1,,,,10,35,35,20,,,
1999,7,1.9,,,,,,,,,,
1999,9,1.8,,,,,90,10,,,,
1999,10,1.8,,,,5,60,35,,,,
1999,11,1.9,,,,5,70,20,5,,,
1999,14,2.3,,,,,10,80,10,,,
1999,16,2,,,,5,25,40,25,5,,
1999,19,2,,,,,50,50,,,,
1999,20,2,,,,,50,50,,,,
1999,23,2.1,,,,5,40,50,5,,,
1999,26,1.8,,,5,20,40,30,5,,,
1999,28,2.1,,,,4.5454545455,27.2727272727,54.5454545455,13.6363636364,,,
1999,29,1.8,,,,5,80,15,,,,
1999,31,2,,,,,,,,,,
1999,32,2,,,,5,40,40,15,,,
1999,33,1.8,,,,5,90,5,,,,
1999,34,2,,,,,30,60,10,,,
1999,35,2.1,,,,5,30,60,5,,,
1999,36,1.9,,,,10,50,40,,,,
1999,37,2.2,,,,,20,60,20,,,
1999,38,1.9,,,,,60,40,,,,
1999,39,2.1,,,,,,,,,,
1999,41,2.1,,,,,20,80,,,,
1999,42,2,,,,,45,55,,,,
1999,45,1.8,,,,,100,,,,,
1999,46,1.81,,,,46.3,46.3,3.7,3.7,,,
1999,47,2.1,,,,,35,60,5,,,
1999,48,2.2,,,,,20,70,10,,,
1999,52,2,,,,,30,70,,,,
1999,53,1.9,,,,,75,25,,,,
1999,54,2.1,,,,15,30,40,15,,,
1999,55,2,.1001001001,1.001001001,3.6036036036,16.016016016,25.5255255255,26.6266266266,17.1171171171,7.4074074074,2.1021021021,.5005005005
1999,56,2,,,,,30,70,,,,
1999,59,1.8,,,,,65,35,,,,
1999,62,2,,,,,35,60,5,,,
1999,63,1.3,,,,10,50,40,,,,
1999,64,1.9,,,,7,45,40,8,,,
1999,65,1.9,,,,,40,50,10,,,
1999,67,1.8,,,,,70,30,,,,
1999,70,2.3,,,,,10,70,20,,,
1999,72,1.9,,,5,20,40,25,10,,,
1999,73,1.5,,,,25,75,,,,,
1999,76,2,,,5,10,20,30,20,10,5,
1999,85,2,,,,3,12,70,12,3,,
1999,87,2.2,,,,4.7619047619,19.0476190476,61.9047619048,14.2857142857,,,
1999,88,1.9,,,,5,50,40,5,,,
1999,90,2,,,,,5,80,15,,,
1999,91,2.1,,,.3003003003,6.4064064064,33.4334334334,44.044044044,14.6146146146,1.2012012012,,
1999,93,2,,,,10,20,40,25,5,,
1999,94,1.9,,,,10,40,40,10,,,
1999,95,2,,5.5,5.5,19,19,20,20,5.5,5.5,
2000,1,2.5,,,,,25,35,40,,,
2000,3,2.4,,,,,10,50,40,,,
2000,5,2.9,,,,5,10,30,40,10,5,
2000,7,2.5,,,,,,,,,,
2000,9,2.5,,,,,10,60,30,,,
2000,10,2.6,,,,,5,40,50,5,,
2000,11,2.4,,,,,5,70,20,5,,
2000,14,2.5,,,,,,25,75,,,
2000,16,2.9,,,,5,5,25,35,20,10,
2000,19,2.4,,,,,25,75,,,,
2000,20,2.7,,,,,,35,65,,,
2000,23,2.8,,,,,10,30,50,10,,
2000,26,2.4,,,,5,15,30,30,15,5,
2000,28,2.4,,,,,10,40,40,10,,
2000,29,2.6,,,,,,10,85,5,,
2000,31,2.75,,,,,,22.2222222222,44.4444444444,33.3333333333,,
2000,32,2.6,,,,,10,35,45,10,,
2000,33,2.3,,,,,10,80,10,,,
2000,34,2.3,,,,,,60,40,,,
2000,35,2.5,,,,,,,,,,
