INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,
2000,1,2.1,0,0,0,5,30,40,20,5,0,,,
2000,3,2.2,0,0,0,0,10,80,10,0,0,,,
2000,4,2.2,0,0,0,0,40,50,10,0,0,,,
2000,5,1.9,0,0,0,0,80,20,0,0,0,,,
2000,7,2.1,,,,,,,,,,,,
2000,9,2.1,0,0,0,0,30,70,0,0,0,,,
2000,10,2.1,0,0,0,0,10,80,10,0,0,,,
2000,11,1.8,0,0,0,5,70,25,0,0,0,,,
2000,14,2,0,0,0,0,30,70,0,0,0,,,
2000,15,2.1,0,0,0,0,30,65,5,0,0,,,
2000,17,2,0,0,5,15,25,45,10,0,0,,,
2000,19,2.3,0,0,0,0,0,100,0,0,0,,,
2000,20,2,0,0,0,0,30,70,0,0,0,,,
2000,22,2,1,1,3,13,30,35,13,3,1,,,
2000,26,2.1,0,0,0,0,30,60,10,0,0,,,
2000,28,2.1,0,0,0,0,20,70,10,0,0,,,
2000,29,1.8,0,0,0,0,70,30,0,0,0,,,
2000,30,2.1,0,0,0,0,5,90,5,0,0,,,
2000,31,2.2,0,0,0,0,10,60,30,0,0,,,
2000,32,2.1,0,0,0,0,30,50,20,0,0,,,
2000,33,2.5,0,0,0,0,0,70,30,0,0,,,
2000,35,2.2,0,0,0,0,0,90,10,0,0,,,
2000,36,2,0,0,5,20,30,40,5,0,0,,,
2000,37,2,0,0,0,0,50,50,0,0,0,,,
2000,39,2.1,0,0,0,0,10,90,0,0,0,,,
2000,41,2.1,0,0,0,0,20,80,0,0,0,,,
2000,43,2.1,0,0,0,0,5,90,5,0,0,,,
2000,45,1.92,0,.10001,2.18021802,15.80158016,38.81388139,32.71327133,9.44094409,.92009201,.030003,,,
2000,46,2.3,0,0,0,.29,14.72,60.42,23.78,.79,0,,,
2000,48,2.1,0,0,0,0,40,50,10,0,0,,,
2000,53,2.1,0,0,0,0,30,70,0,0,0,,,
2000,54,2.1,0,0,0,5,40,45,10,0,0,,,
2000,55,2.1,0,0,0,.2997003,30.06993007,65.33466533,4.2957043,0,0,,,
2000,56,2.2,0,0,0,0,20,70,10,0,0,,,
2000,57,1.9,0,0,0,0,60,30,10,0,0,,,
2000,59,2.1,0,0,0,0,25,50,25,0,0,,,
2000,64,2,0,0,0,0,30,50,20,0,0,,,
2000,67,2,0,0,0,0,50,50,0,0,0,,,
2000,70,2.2,0,0,0,0,20,75,5,0,0,,,
2000,71,2,0,0,0,0,45,50,5,0,0,,,
