INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,
2000,1,2.3,0,0,0,0,5,60,30,5,0,0,,
2000,2,2.1,0,0,0,0,10,90,0,0,0,0,,
2000,3,,0,0,0,0,0,80,20,0,0,0,,
2000,4,2.3,0,0,0,0,0,95,5,0,0,0,,
2000,5,2.2,0,0,0,0,0,50,48,2,0,0,,
2000,6,2.3,0,0,0,0,0,90,10,0,0,0,,
2000,7,2.3,,,,,,,,,,,,
2000,9,2.4,0,0,0,0,0,80,20,0,0,0,,
2000,10,2.3,0,0,0,0,0,80,20,0,0,0,,
2000,11,2.1,0,0,0,0,25,70,5,0,0,0,,
2000,14,2.3,0,0,0,0,0,90,10,0,0,0,,
2000,15,2.3,0,0,0,0,0,95,5,0,0,0,,
2000,16,2.3,0,0,0,0,5,85,10,0,0,0,,
2000,17,2.2,0,0,0,0,20,70,10,0,0,0,,
2000,18,2.3,0,0,0,0,0,90,10,0,0,0,,
2000,19,2.3,0,0,0,0,0,100,0,0,0,0,,
2000,20,2.2,0,0,0,0,10,90,0,0,0,0,,
2000,22,2.3,,,,,,,,,,,,
2000,23,2.3,0,0,0,0,0,90,10,0,0,0,,
2000,24,2.3,0,0,0,0,0,100,0,0,0,0,,
2000,26,2.3,0,0,0,0,0,100,0,0,0,0,,
2000,28,2.3,0,0,0,0,0,50,50,0,0,0,,
2000,29,2.3,0,0,0,0,0,99,1,0,0,0,,
2000,30,2.3,0,0,0,0,0,100,0,0,0,0,,
2000,31,2.4,0,0,0,0,0,95,5,0,0,0,,
2000,32,2.3,0,0,0,0,5,85,10,0,0,0,,
2000,33,2.3,0,0,0,0,0,90,10,0,0,0,,
2000,34,2.2,0,0,0,0,5,70,25,0,0,0,,
2000,35,2.5,0,0,0,0,0,40,60,0,0,0,,
2000,36,2.2,0,0,0,5,30,50,15,0,0,0,,
2000,37,2.3,0,0,0,0,0,100,0,0,0,0,,
2000,38,2.4,0,0,0,0,0,100,0,0,0,0,,
