INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2007,1,2,,,,5,35,40,15,5,,,,,
2007,2,1.8,,,,15,48,37,,,,,,,
2007,3,1.8,,,,10,50,40,,,,,,,
2007,4,1.8,,,,,70,30,,,,,,,
2007,5,2,,,,5,40,50,5,,,,,,
2007,7,1.9,,,,,,,,,,,,,
2007,8,1.8,,,,3,55,40,2,,,,,,
2007,10,1.925,.00590805907846326,.108519523869122,1.90378719305094,12.6676933087455,35.3202045821117,34.888276108422,12.5468122451576,2.39990516460871,.158893814955996,,,,
2007,11,1.8,,,,,70,30,,,,,,,
2007,14,1.8,,,,,75,25,,,,,,,
2007,15,1.9,,,,5,55,35,5,,,,,,
2007,16,1.8,0,0,2,18,31,27,19,2,1,,,,
2007,19,1.9,,,,,60,40,,,,,,,
2007,20,1.8,,,,5,50,40,5,,,,,,
2007,22,1.8,0,0,0,5,65,30,,,,,,,
2007,23,1.8,,,5,24,40,25,5,1,,,,,
2007,24,1.7,,,,20,60,20,,,,,,,
2007,26,1.7,,,,15,50,25,10,,,,,,
2007,29,1.9,,,,,70,30,,,,,,,
2007,30,1.9,,,,,50,50,,,,,,,
2007,31,1.9,,,,5,50,40,5,,,,,,
2007,32,,1,1,5,15,30,30,15,2,1,,,,
2007,33,2.2,,,,,20,60,20,,,,,,
2007,36,2.1,,,,,30,50,20,,,,,,
2007,37,1.9,,,,,60,40,,,,,,,
2007,38,1.9,,,,20,45,35,,,,,,,
2007,39,1.9,,,,,55,40,5,,,,,,
2007,40,2.3,,,,,10,90,,,,,,,
2007,41,1.9,,,,,60,40,,,,,,,
2007,42,2,,,,,45,55,,,,,,,
2007,45,2.2,,,,,20,50,30,,,,,,
2007,47,1.8,0,1,5,10,45,35,4,0,0,,,,
2007,48,1.8,0,0,0,5,90,5,0,0,0,,,,
2007,52,1.8,,,,,80,20,,,,,,,
2007,54,1.9,,,,10,60,30,,,,,,,
2007,56,1.8,,,,5,70,25,,,,,,,
2007,57,1.9,,,,,,,,,,,,,
2007,58,1.92,0,0,0,18.2,47.5,34.2,.1,0,0,,,,
2007,59,1.95,,,,5,40,50,5,,,,,,
2007,60,1.9,,,,,45,50,5,,,,,,
2007,61,1.9,,,,5,50,35,10,,,,,,
2007,62,2,,,,,45,55,,,,,,,
2007,67,2,,,,10,25,30,25,10,,,,,
2007,68,1.9,1,3,8,12,25,29,18,3,1,,,,
2007,70,1.9,,,,,70,30,,,,,,,
2007,72,1.8,0,0,0,10,45,35,10,0,0,,,,
2007,73,,,,,,50,50,,,,,,,
2007,76,1.9,.000000000000107295584260984,.0000002960807198377,.0105386978119376,5.5356470588196,63.8018814739565,30.1625800165539,.489191935667321,.000160520259906427,.00000000085007556549499,,,,
2007,80,1.8,.0000716773871589638,.0139518651573689,1.0220869125332,14.9933103542297,46.7685703812516,32.2165540939084,4.83460879318635,.149934787944583,.000911134401659908,,,,
2007,82,1.8,,,,10,60,30,,,,,,,
2007,84,1.9,0,0,0,0,52,48,0,0,0,,,,
2007,85,1.8,,,,5,75,20,,,,,,,
2007,88,1.8,,,,5,35,30,20,10,,,,,
2007,90,1.7,0,0,0,10,80,10,0,0,0,,,,
2007,92,1.9,0,0,.0000002029039995883,.16349099966827,49.8365088988797,49.8365088988797,.16349099966827,0,0,,,,
2007,93,2.1,,,,,15,85,,,,,,,
2007,94,2.1,,,,10,30,35,20,5,,,,,
2007,95,2,0,0,0,9,44,35,12,0,0,,,,
2007,96,1.9,,,,,68,30,2,,,,,,
2007,97,1.8,1,3,5,15,35,25,10,5,1,,,,
2007,98,2,,,,,45,45,10,,,,,,
2007,99,1.8,,,,5,65,25,5,,,,,,
2007,100,1.9,,,,20,60,20,,,,,,,
2008,1,2,,,,5,25,40,20,10,,,,,
2008,2,1.9,,,4,14,37,37,8,,,,,,
2008,3,1.9,,,,5,50,40,5,,,,,,
2008,4,2.3,,,,,25,60,15,,,,,,
2008,5,1.8,,,,25,50,25,,,,,,,
2008,7,2,,,,,,,,,,,,,
2008,8,1.9,,,,1,50,45,4,,,,,,
2008,10,2,.00316860346092351,.0655516046181415,1.32161968275293,10.1166332809387,30.5670581115565,36.7404353228451,17.5925068424453,3.3375074872298,.25551906415251,,,,
2008,11,1.8,,,,5,75,20,,,,,,,
2008,14,1.8,,,,20,60,20,,,,,,,
2008,15,1.7,,,,10,60,25,5,,,,,,
2008,16,1.9,0,0,2,22,33,30,10,2,1,,,,
2008,19,2,,,,,50,50,,,,,,,
2008,20,2,,,,10,35,45,10,,,,,,
2008,22,1.8,0,0,0,10,65,25,,,,,,,
2008,23,1.7,1,3,10,22,27,20,10,5,2,,,,
2008,24,1.7,,,5,25,45,15,10,,,,,,
2008,26,1.8,,,,17.5,45,27.5,10,,,,,,
2008,29,2,,,,,60,40,,,,,,,
2008,30,2,,,,,30,70,,,,,,,
2008,31,2,,,,,40,55,5,,,,,,
2008,32,,1,5,10,15,25,25,15,3,1,,,,
2008,33,2,,,,,50,50,,,,,,,
2008,36,2.3,,,,,30,50,20,,,,,,
2008,37,1.9,,,,,55,45,,,,,,,
2008,38,1.9,,,,20,45,35,,,,,,,
2008,39,2,,,,,20,65,15,,,,,,
2008,40,2.2,,,,,10,90,,,,,,,
2008,41,1.8,,,,,70,30,,,,,,,
2008,42,1.9,,,,,55,45,,,,,,,
2008,45,2,,,,,40,40,20,,,,,,
2008,47,2,0,2,6,11,32,44,5,0,0,,,,
2008,48,1.9,0,0,0,5,80,15,0,0,0,,,,
2008,52,2.1,,,,,20,80,,,,,,,
2008,54,2.1,,,,10,40,40,10,,,,,,
2008,56,2,,,,,30,65,5,,,,,,
2008,57,2,,,,,,,,,,,,,
2008,58,1.8,0,0,.2,15.4,49,32.8,2.6,0,0,,,,
2008,59,2.04,,,,5,30,55,10,,,,,,
2008,60,1.9,,,,5,40,45,10,,,,,,
2008,61,2.2,,,,10,40,40,10,,,,,,
2008,62,1.9,,,,,55,45,,,,,,,
2008,67,2,,,,10,25,30,25,10,,,,,
2008,68,1.9,1,3,10,15,40,21,6,3,1,,,,
2008,70,1.9,,,,,52,48,,,,,,,
2008,72,2,0,0,0,10,37,42,11,0,0,,,,
2008,73,,,,,,45,50,5,,,,,,
2008,76,2.1,.577227153887047,2.12607084066803,6.49732073341381,13.9530915442389,21.0625500862204,22.222534800794,17.4846065408951,10.0658942515563,6.01070404832648,,,,
2008,80,2,.0648530961201432,.548424078239018,3.72208380114039,13.5003220509654,26.9822819962236,29.7553286239996,18.1086420603658,6.07608965827128,1.24197463467483,,,,
2008,82,1.7,,,,20,55,25,,,,,,,
2008,84,1.9,0,0,0,12,36,34,15,3,0,,,,
2008,85,1.8,,,,5,60,35,,,,,,,
2008,88,1.8,,,5,10,30,25,20,10,,,,,
2008,90,1.7,0,0,0,10,80,10,0,0,0,,,,
