INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,
2008,1,3.5,,,,,,,,30,70,,,,
2008,2,,,,,,,,,85,15,,,,
2008,3,,,,,,,,,50,50,,,,
2008,4,3.4,,,,,,,,60,40,,,,
2008,5,3.5,,,,,,,,40,60,,,,
2008,7,3.3,,,,,,,,,,,,,
2008,8,3.4,,,,,,,,55,45,,,,
2008,10,3.4375,0,0,0,0,.00000000000498490138056695,.0000386211875702536,.729258088757312,51.5633649444432,47.1801979576238,.527140387983049,,,
2008,14,3.5,,,,,,,,50,50,,,,
2008,15,3.6,,,,,,,,10,90,,,,
2008,16,3.5,0,0,0,0,0,1,4,37,50,8,,,
2008,19,3.2,,,,,,,20,50,30,,,,
2008,20,3.5,,,,,,,,45,55,,,,
2008,22,3.4,,,,,,,,55,45,,,,
2008,23,3.4,,,,,,,,51,49,,,,
2008,24,3.5,,,,,,,,50,50,,,,
2008,26,3.4,,,,,,,,85,15,,,,
2008,29,3.4,,,,,,,,50,50,,,,
2008,30,3.5,,,,,,,,,,,,,
2008,31,3.5,,,,,,,,30,70,,,,
2008,32,3.3,,,,,,,20,50,30,,,,
2008,36,3.2,,,,,,,15,45,35,5,,,
2008,38,3.4,,,,,,,10,60,30,,,,
2008,39,3.5,,,,,,,,45,55,,,,
2008,40,3.5,,,,,,,,30,70,,,,
2008,41,3.4,,,,,,,,90,10,,,,
2008,42,3.5,,,,,,,5,45,50,,,,
2008,47,3.4,0,0,0,0,5,10,20,35,30,0,,,
2008,48,3.4,,,,,,,,,,,,,
2008,52,3.4,,,,,,,,80,20,,,,
2008,54,3.4,,,,,,,20,40,40,,,,
2008,56,3.4,,,,,,,,80,20,,,,
2008,57,3.5,,,,,,,,,,,,,
2008,58,3.5,,,,,,,,40,60,,,,
2008,59,3.2,,,,,,,20,70,10,,,,
2008,60,3.5,,,,,,,,30,70,,,,
2008,61,3.4,,,,,,,15,50,35,,,,
2008,67,3.5,,,,,,,10,30,50,10,,,
2008,68,3.6,,,,,,,,35,50,15,,,
2008,70,3.5,,,,,,,,30,70,,,,
2008,72,3.4,,,,,,,,,,,,,
2008,73,3.4,,,,,,,,100,,,,,
2008,82,3.5,,,,,,,,45,55,,,,
2008,84,3.5,,,,,,,,25,75,,,,
2008,88,3.4,,,,,,,25,50,25,,,,
2008,89,3.5,,,,,,,,50,50,,,,
2008,90,3.4,0,0,0,0,0,0,0,70,30,0,,,
2008,93,3.2,,,,,,,10,80,10,,,,
