INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN2_0,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,
2009,1,.5,,,,,5,45,45,5,,,,,,,,,,,,,,
2009,7,.3,,,,,,,,,,,,,,,,,,,,,,
2009,8,.3,,,,,10,65,20,5,,,,,,,,,,,,,,
2009,14,.5,,,,,5,15,65,10,5,,,,,,,,,,,,,
2009,15,.5,,,,,,40,60,,,,,,,,,,,,,,,
2009,16,.3,,,2,7,19,33,21,13,4,1,,,,,,,,,,,,
2009,19,.2,,,,10,25,30,25,10,,,,,,,,,,,,,,
2009,20,.6,,,,,5,40,50,5,,,,,,,,,,,,,,
2009,22,.2,,,,,20,60,20,,,,,,,,,,,,,,,
2009,23,.5,,,,,5,40,50,5,,,,,,,,,,,,,,
2009,24,.5,,,,,20,30,30,20,,,,,,,,,,,,,,
2009,29,,,,,,20,50,30,,,,,,,,,,,,,,,
2009,30,.1,,,,6,34,42,18,,,,,,,,,,,,,,,
2009,31,.5,,,,,10,35,45,10,,,,,,,,,,,,,,
2009,32,-.2,,1,6,18,24,20,15,10,5,1,,,,,,,,,,,,
2009,33,0,,,,,50,50,,,,,,,,,,,,,,,,
2009,35,.4,,,,,,70,30,,,,,,,,,,,,,,,
2009,36,,,,5,25,40,25,5,,,,,,,,,,,,,,,
2009,37,.5,,,,,1,49,50,,,,,,,,,,,,,,,
2009,38,.3,,,,,,60,40,,,,,,,,,,,,,,,
2009,39,.4,,,,,10,50,30,10,,,,,,,,,,,,,,
2009,40,.3,,,,,,100,,,,,,,,,,,,,,,,
2009,41,.5,,,,,20,80,,,,,,,,,,,,,,,,
2009,42,.4,,,,,5,50,40,5,,,,,,,,,,,,,,
2009,47,.3,,,5,10,10,25,20,15,10,5,,,,,,,,,,,,
2009,48,.4,,,,,,,,,,,,,,,,,,,,,,
2009,52,.3,,,,,20,60,20,,,,,,,,,,,,,,,
2009,54,.6,,,,10,20,35,35,,,,,,,,,,,,,,,
2009,57,.5,,,,,,,,,,,,,,,,,,,,,,
2009,63,.4,,,,,10,70,20,,,,,,,,,,,,,,,
2009,70,.5,,,,,,50,50,,,,,,,,,,,,,,,
2009,72,.2,,,,,,,,,,,,,,,,,,,,,,
2009,73,-.5,,,,20,70,10,,,,,,,,,,,,,,,,
2009,80,.261,0,0,0,.056,10.531,67.037,22.094,.282,0,0,0,0,0,0,,,,,,,,
2009,82,.5,,,,,,,,,,,,,,,,,,,,,,
2009,84,.3,,,,,10,65,25,,,,,,,,,,,,,,,
2009,85,.3,0,0,.00001288,.0003272,2.27465992,66.8714,30.7186,.135,0,0,0,0,0,0,,,,,,,,
2009,88,.4,,,2.5,10,20,35,20,10,2.5,,,,,,,,,,,,,
2009,89,.4,,,,,10,40,40,10,,,,,,,,,,,,,,
2009,90,.5,,,,,,40,60,,,,,,,,,,,,,,,
2009,93,.7,,,,,,,10,90,,,,,,,,,,,,,,
2009,94,.4,,,,,10,42.5,37.5,10,,,,,,,,,,,,,,
2009,95,.5,,,,,2,40,53,5,,,,,,,,,,,,,,
2009,96,.5,,,,,,50,50,,,,,,,,,,,,,,,
2009,97,.5,,,,,,,,,,,,,,,,,,,,,,
2009,98,.4,,,,,10,50,40,,,,,,,,,,,,,,,
2009,99,.6,,,,,5,10,80,5,,,,,,,,,,,,,,
2009,101,.3,,,,,20,50,30,,,,,,,,,,,,,,,
2009,103,.5,,,,,10,35,45,10,,,,,,,,,,,,,,
2009,104,.5,,,,,,30,40,20,10,,,,,,,,,,,,,
2009,105,.4,,,,,15,70,15,,,,,,,,,,,,,,,
2009,106,.3,,,,,20,60,20,,,,,,,,,,,,,,,
2009,107,.4,,,,,.35,74.65,25,,,,,,,,,,,,,,,
2009,108,.8,,,,,,8.2,78,10.9,2.9,,,,,,,,,,,,,
2010,1,1.5,,,,,5,10,15,30,30,8,2,,,,,,,,,,,
2010,7,.8,,,,,,,,,,,,,,,,,,,,,,
2010,8,1.3,,,,,2,10,23,29,26,8,2,,,,,,,,,,,
2010,14,1.1,,,,1,4,7,15,50,15,7,1,,,,,,,,,,,
2010,15,1.25,,,,,,10,15,40,35,0,,,,,,,,,,,,
2010,16,1.1,,,1,4,6,11,18,25,17,10,5,2,1,,,,,,,,,
2010,19,.9,,,,5,10,15,20,15,15,10,10,,,,,,,,,,,
2010,20,1.2,,,,,,10,35,45,10,,,,,,,,,,,,,
2010,22,1,,,,,5,15,20,40,20,,,,,,,,,,,,,
2010,23,1.6,,,,,5,10,15,20,25,20,5,,,,,,,,,,,
2010,24,.7,,,,,5,35,30,25,5,,,,,,,,,,,,,
2010,29,,,,,,,40,40,20,,,,,,,,,,,,,,
2010,30,.5,,,,,10,40,38,12,,,,,,,,,,,,,,
2010,31,1.5,,,,,,,10,30,40,20,,,,,,,,,,,,
2010,32,-.2,,1,7,18,20,17,15,12,7,2,1,,,,,,,,,,,
2010,33,.5,,,,,10,40,40,10,,,,,,,,,,,,,,
2010,35,.8,,,,,,,80,20,,,,,,,,,,,,,,
2010,36,,,,5,15,25,30,20,5,,,,,,,,,,,,,,
2010,37,1.1,,,,,,2,10,50,36,2,,,,,,,,,,,,
2010,38,1.2,,,,,,,10,60,30,,,,,,,,,,,,,
2010,39,1.4,,,,,,5,15,40,30,10,,,,,,,,,,,,
2010,40,1.2,,,,,,,5,90,5,,,,,,,,,,,,,
2010,41,.9,,,,,,20,60,20,,,,,,,,,,,,,,
2010,42,1.3,,,,,,,5,55,35,5,,,,,,,,,,,,
2010,47,1,,,,2,5,15,20,25,17,11,5,,,,,,,,,,,
2010,48,1.1,,,,,,,,,,,,,,,,,,,,,,
2010,52,1.3,,,,,,,15,60,20,5,,,,,,,,,,,,
2010,54,1.7,,,,,,5,10,20,30,20,10,5,,,,,,,,,,
2010,57,1.2,,,,,,,,,,,,,,,,,,,,,,
2010,63,1.5,,,,,,,20,20,50,10,,,,,,,,,,,,
2010,70,.7,,,,,,30,70,,,,,,,,,,,,,,,
2010,72,1.2,,,,,,,,,,,,,,,,,,,,,,
