"","horizon","economist","forecast"
"1",1,1,1.9
"2",1,2,1.9
"3",1,3,1.9
"4",1,4,2
"5",1,5,2
"6",1,7,1.9
"7",1,8,2
"8",1,9,2
"9",1,10,1.95
"10",1,11,2
"11",1,14,1.9
"12",1,15,1.9
"13",1,16,2
"14",1,19,2
"15",1,20,2
"16",1,22,2
"17",1,23,2
"18",1,24,2
"19",1,26,2
"20",1,28,2
"21",1,29,2.1
"22",1,31,2.1
"23",1,32,2
"24",1,35,2.1
"25",1,37,2
"26",1,38,1.9
"27",1,39,2
"28",1,40,2
"29",1,41,1.9
"30",1,42,2
"31",1,47,2
"32",1,48,1.9
"33",1,52,2
"34",1,54,2
"35",1,57,2
"36",1,59,2
"37",1,60,2
"38",1,61,1.9
"39",1,63,2
"40",1,67,2
"41",1,68,2
"42",1,73,2
"43",1,76,2.03079888369073
"44",1,80,1.85
"45",1,82,2
"46",1,84,2
"47",1,85,2
"48",1,89,1.98313931897558
"49",1,90,2.1
"50",1,92,2
"51",1,93,2
"52",1,94,2
"53",1,95,2
"54",1,96,2
"55",1,97,2
"56",1,98,2
"57",1,99,2
"58",5,1,1.8
"59",5,2,2
"60",5,3,2
"61",5,4,2.3
"62",5,5,2.3
"63",5,7,2
"64",5,8,2.1
"65",5,9,2
"66",5,10,2.1275
"67",5,11,2
"68",5,14,1.9
"69",5,15,1.9
"70",5,16,2.1
"71",5,19,1.9
"72",5,20,2.2
"73",5,22,1.9
"74",5,23,1.8
"75",5,24,1.9
"76",5,26,1.9
"77",5,28,2
"78",5,29,2
"79",5,31,2
"80",5,32,2.2
"81",5,35,2
"82",5,37,2.1
"83",5,38,2
"84",5,39,2.1
"85",5,40,2.1
"86",5,41,1.9
"87",5,42,2
"88",5,47,2.1
"89",5,48,1.8
"90",5,52,1.9
"91",5,54,2.1
"92",5,57,2.1
"93",5,59,2.1
"94",5,60,2.2
"95",5,61,2
"96",5,63,2
"97",5,67,2
"98",5,68,1.9
"99",5,73,2
"100",5,76,2.02525274220258
"101",5,80,2
"102",5,82,2
"103",5,84,2
"104",5,85,1.9
"105",5,89,1.9866091199871
"106",5,90,2.1
"107",5,92,2.1
"108",5,93,2
"109",5,94,2.2
"110",5,95,2
"111",5,96,2.2
"112",5,97,2
"113",5,98,2.2
"114",5,99,1.9
"115",9,1,1.8
"116",9,2,1.7
"117",9,3,1.9
"118",9,4,2
"119",9,5,2
"120",9,7,1.7
"121",9,8,2.1
"122",9,9,2
"123",9,10,2.1
"124",9,11,2.1
"125",9,14,1.8
"126",9,15,1.7
"127",9,16,1.9
"128",9,19,1.9
"129",9,20,2
"130",9,22,1.8
"131",9,23,2
"132",9,24,1.8
"133",9,26,1.8
"134",9,28,2
"135",9,29,2
"136",9,31,1.9
"137",9,32,NA
"138",9,35,2
"139",9,37,2.1
"140",9,38,2.1
"141",9,39,2
"142",9,40,NA
"143",9,41,1.9
"144",9,42,1.9
"145",9,47,2.1
"146",9,48,NA
"147",9,52,1.9
"148",9,54,1.9
"149",9,57,2.2
"150",9,59,2
"151",9,60,1.9
"152",9,61,2
"153",9,63,2
"154",9,67,2
"155",9,68,1.9
"156",9,73,NA
"157",9,76,NA
"158",9,80,2
"159",9,82,1.9
"160",9,84,1.9
"161",9,85,NA
"162",9,89,2.1
"163",9,90,1.9
"164",9,92,1.9
"165",9,93,2
"166",9,94,1.9
"167",9,95,2
"168",9,96,NA
"169",9,97,1.9
"170",9,98,2.1
"171",9,99,2
"172",21,1,1.9
"173",21,2,1.8
"174",21,3,1.9
"175",21,4,2
"176",21,5,2
"177",21,7,1.8
"178",21,8,2
"179",21,9,1.9
"180",21,10,1.9
"181",21,11,2
"182",21,14,1.7
"183",21,15,1.6
"184",21,16,2
"185",21,19,2
"186",21,20,2
"187",21,22,1.9
"188",21,23,2
"189",21,24,1.9
"190",21,26,1.8
"191",21,28,1.9
"192",21,29,2
"193",21,31,1.8
"194",21,32,NA
"195",21,35,2
"196",21,37,2
"197",21,38,NA
"198",21,39,2
"199",21,40,NA
"200",21,41,1.9
"201",21,42,1.7
"202",21,47,1.9
"203",21,48,2
"204",21,52,2.3
"205",21,54,1.8
"206",21,57,NA
"207",21,59,2
"208",21,60,1.9
"209",21,61,NA
"210",21,63,2
"211",21,67,2
"212",21,68,1.9
"213",21,73,NA
"214",21,76,1.9
"215",21,80,NA
"216",21,82,NA
"217",21,84,2
"218",21,85,NA
"219",21,89,2
"220",21,90,2
"221",21,92,NA
"222",21,93,2
"223",21,94,1.9
"224",21,95,1.9
"225",21,96,NA
"226",21,97,2
"227",21,98,2.1
"228",21,99,1.9
